0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 1}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 3}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 4}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 1}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 2}
0.0992 (+/-0.029) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 3}
0.1329 (+/-0.049) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 4}
0.2820 (+/-0.009) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__degree': 1}
0.3332 (+/-0.020) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__degree': 2}
0.1669 (+/-0.019) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__degree': 3}
0.2481 (+/-0.015) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__degree': 4}
0.4870 (+/-0.030) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__degree': 1}
0.6238 (+/-0.026) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__degree': 2}
0.4682 (+/-0.022) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__degree': 3}
0.4419 (+/-0.043) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__degree': 4}
0.4983 (+/-0.027) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__degree': 1}
0.6674 (+/-0.012) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__degree': 2}
0.4485 (+/-0.030) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__degree': 3}
0.5704 (+/-0.020) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__degree': 4}
0.5361 (+/-0.035) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__degree': 1}
0.7338 (+/-0.021) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__degree': 2}
0.5839 (+/-0.029) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__degree': 3}
0.6213 (+/-0.025) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__degree': 4}
0.5168 (+/-0.032) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__degree': 1}
0.7674 (+/-0.023) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__degree': 2}
0.5825 (+/-0.032) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__degree': 3}
0.6738 (+/-0.014) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__degree': 4}
0.5449 (+/-0.029) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 1}
0.7824 (+/-0.024) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 2}
0.6209 (+/-0.042) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 3}
0.7128 (+/-0.024) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 4}
0.5200 (+/-0.032) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__degree': 1}
0.7912 (+/-0.032) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__degree': 2}
0.6210 (+/-0.032) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__degree': 3}
0.6935 (+/-0.039) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__degree': 4}
0.5443 (+/-0.030) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 1}
0.8024 (+/-0.032) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 2}
0.6145 (+/-0.024) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 3}
0.7055 (+/-0.014) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 4}
0.5195 (+/-0.029) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__degree': 1}
0.7922 (+/-0.032) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__degree': 2}
0.6082 (+/-0.040) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__degree': 3}
0.6739 (+/-0.027) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__degree': 4}
0.5437 (+/-0.028) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 1}
0.7965 (+/-0.031) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 2}
0.5960 (+/-0.032) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 3}
0.6729 (+/-0.019) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 4}

Best parameters:
{'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__degree': 2}

Best score: 0.8024
