0.7733 (+/-0.031) for {'classifier__C': 1, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.7874 (+/-0.030) for {'classifier__C': 1, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.7900 (+/-0.037) for {'classifier__C': 1, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7894 (+/-0.040) for {'classifier__C': 1, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.3623 (+/-0.010) for {'classifier__C': 1, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.7762 (+/-0.027) for {'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.7918 (+/-0.023) for {'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.7963 (+/-0.023) for {'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7930 (+/-0.030) for {'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.3900 (+/-0.015) for {'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.7836 (+/-0.025) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.7911 (+/-0.030) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.7924 (+/-0.036) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7889 (+/-0.042) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4165 (+/-0.017) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.7853 (+/-0.022) for {'classifier__C': 1.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.7974 (+/-0.022) for {'classifier__C': 1.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.7965 (+/-0.027) for {'classifier__C': 1.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7916 (+/-0.029) for {'classifier__C': 1.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4181 (+/-0.019) for {'classifier__C': 1.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.7878 (+/-0.024) for {'classifier__C': 2, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.7939 (+/-0.032) for {'classifier__C': 2, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.7923 (+/-0.040) for {'classifier__C': 2, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7899 (+/-0.039) for {'classifier__C': 2, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4164 (+/-0.017) for {'classifier__C': 2, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.7899 (+/-0.022) for {'classifier__C': 2, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.7983 (+/-0.026) for {'classifier__C': 2, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.7941 (+/-0.032) for {'classifier__C': 2, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7854 (+/-0.032) for {'classifier__C': 2, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4164 (+/-0.018) for {'classifier__C': 2, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.7911 (+/-0.020) for {'classifier__C': 2.5, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.7921 (+/-0.033) for {'classifier__C': 2.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.7901 (+/-0.040) for {'classifier__C': 2.5, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7894 (+/-0.039) for {'classifier__C': 2.5, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4164 (+/-0.017) for {'classifier__C': 2.5, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.7936 (+/-0.019) for {'classifier__C': 2.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.7974 (+/-0.030) for {'classifier__C': 2.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.7925 (+/-0.032) for {'classifier__C': 2.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7825 (+/-0.032) for {'classifier__C': 2.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4164 (+/-0.017) for {'classifier__C': 2.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.7917 (+/-0.022) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
