0.2775 (+/-0.012) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.6184 (+/-0.039) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.0872 (+/-0.045) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.0872 (+/-0.045) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.0872 (+/-0.045) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.0872 (+/-0.045) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.4115 (+/-0.022) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.1410 (+/-0.008) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.6831 (+/-0.032) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.3817 (+/-0.178) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.0872 (+/-0.045) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.0872 (+/-0.045) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.0872 (+/-0.045) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.6063 (+/-0.029) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.2332 (+/-0.016) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.1259 (+/-0.000) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1259 (+/-0.000) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7307 (+/-0.034) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.5959 (+/-0.046) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.0872 (+/-0.045) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.0872 (+/-0.045) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.0872 (+/-0.045) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7165 (+/-0.026) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.3869 (+/-0.017) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.1265 (+/-0.002) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1259 (+/-0.000) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7649 (+/-0.026) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.6749 (+/-0.022) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.1418 (+/-0.097) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.0872 (+/-0.045) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.0872 (+/-0.045) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7665 (+/-0.036) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.5755 (+/-0.023) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.1614 (+/-0.003) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1259 (+/-0.000) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7886 (+/-0.027) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.7250 (+/-0.030) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.3411 (+/-0.081) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.0885 (+/-0.043) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.0872 (+/-0.045) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7865 (+/-0.038) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.7060 (+/-0.040) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.3623 (+/-0.010) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1339 (+/-0.004) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7927 (+/-0.031) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.7304 (+/-0.040) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.3900 (+/-0.015) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.1393 (+/-0.018) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1168 (+/-0.009) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.1168 (+/-0.009) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7872 (+/-0.034) for {'classifier__C': 2.0, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.7190 (+/-0.037) for {'classifier__C': 2.0, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
