0.7808 (+/-0.021) for {'classifier__C': 1, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.7987 (+/-0.023) for {'classifier__C': 1, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.8041 (+/-0.020) for {'classifier__C': 1, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.8025 (+/-0.025) for {'classifier__C': 1, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.3897 (+/-0.014) for {'classifier__C': 1, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.7875 (+/-0.017) for {'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.8026 (+/-0.017) for {'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.8077 (+/-0.012) for {'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.8073 (+/-0.023) for {'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4263 (+/-0.018) for {'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.7927 (+/-0.019) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.8029 (+/-0.022) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.8050 (+/-0.026) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.8037 (+/-0.027) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4434 (+/-0.017) for {'classifier__C': 1.5, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.7946 (+/-0.016) for {'classifier__C': 1.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.8084 (+/-0.014) for {'classifier__C': 1.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.8104 (+/-0.023) for {'classifier__C': 1.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.8075 (+/-0.029) for {'classifier__C': 1.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4451 (+/-0.018) for {'classifier__C': 1.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.7974 (+/-0.023) for {'classifier__C': 2, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.8044 (+/-0.026) for {'classifier__C': 2, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.8066 (+/-0.030) for {'classifier__C': 2, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.8032 (+/-0.030) for {'classifier__C': 2, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4439 (+/-0.018) for {'classifier__C': 2, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.8009 (+/-0.010) for {'classifier__C': 2, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.8093 (+/-0.023) for {'classifier__C': 2, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.8089 (+/-0.026) for {'classifier__C': 2, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.8007 (+/-0.032) for {'classifier__C': 2, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4444 (+/-0.018) for {'classifier__C': 2, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.8024 (+/-0.023) for {'classifier__C': 2.5, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.8062 (+/-0.025) for {'classifier__C': 2.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.8058 (+/-0.031) for {'classifier__C': 2.5, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7988 (+/-0.028) for {'classifier__C': 2.5, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4436 (+/-0.018) for {'classifier__C': 2.5, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.8043 (+/-0.015) for {'classifier__C': 2.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.8100 (+/-0.025) for {'classifier__C': 2.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.8075 (+/-0.030) for {'classifier__C': 2.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7970 (+/-0.031) for {'classifier__C': 2.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4441 (+/-0.018) for {'classifier__C': 2.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.8021 (+/-0.026) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.8062 (+/-0.027) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.8064 (+/-0.030) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7987 (+/-0.031) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4436 (+/-0.018) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.8062 (+/-0.018) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.8087 (+/-0.029) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.8048 (+/-0.033) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7958 (+/-0.028) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4436 (+/-0.018) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.8020 (+/-0.030) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.8059 (+/-0.029) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.8064 (+/-0.031) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7972 (+/-0.033) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4436 (+/-0.018) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.8079 (+/-0.016) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.8090 (+/-0.029) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.8021 (+/-0.032) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7926 (+/-0.024) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4436 (+/-0.018) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.8049 (+/-0.027) for {'classifier__C': 3.5, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.8046 (+/-0.032) for {'classifier__C': 3.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.8023 (+/-0.036) for {'classifier__C': 3.5, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7942 (+/-0.035) for {'classifier__C': 3.5, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4436 (+/-0.018) for {'classifier__C': 3.5, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.8089 (+/-0.021) for {'classifier__C': 3.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.8092 (+/-0.032) for {'classifier__C': 3.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.8012 (+/-0.032) for {'classifier__C': 3.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7901 (+/-0.026) for {'classifier__C': 3.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4436 (+/-0.018) for {'classifier__C': 3.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.8048 (+/-0.032) for {'classifier__C': 5, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.8064 (+/-0.035) for {'classifier__C': 5, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.7973 (+/-0.033) for {'classifier__C': 5, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7878 (+/-0.030) for {'classifier__C': 5, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4436 (+/-0.018) for {'classifier__C': 5, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.8113 (+/-0.027) for {'classifier__C': 5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.8026 (+/-0.035) for {'classifier__C': 5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.7933 (+/-0.028) for {'classifier__C': 5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
