0.8158 (+/-0.025) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.8158 (+/-0.025) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.8158 (+/-0.025) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.8160 (+/-0.025) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.8160 (+/-0.025) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.8160 (+/-0.025) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.8156 (+/-0.025) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.8156 (+/-0.025) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.8156 (+/-0.025) for {'classifier__C': 2.75, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.8151 (+/-0.026) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.8151 (+/-0.026) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.8151 (+/-0.026) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.8157 (+/-0.026) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.8157 (+/-0.026) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.8157 (+/-0.026) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.8149 (+/-0.027) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.8149 (+/-0.027) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.8149 (+/-0.027) for {'classifier__C': 2.75, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.8172 (+/-0.023) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.8172 (+/-0.023) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.8172 (+/-0.023) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.8179 (+/-0.021) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.8179 (+/-0.021) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.8179 (+/-0.021) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.8173 (+/-0.022) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.8173 (+/-0.022) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.8173 (+/-0.022) for {'classifier__C': 3, 'classifier__class_weight': None, 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.8155 (+/-0.030) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.8155 (+/-0.030) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.8155 (+/-0.030) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.8158 (+/-0.029) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.8158 (+/-0.029) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.8158 (+/-0.029) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.8151 (+/-0.030) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.8151 (+/-0.030) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.8151 (+/-0.030) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
