0.6191 (+/-0.017) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.6191 (+/-0.017) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.6191 (+/-0.017) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.6196 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.6196 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.6196 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.6182 (+/-0.015) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.6182 (+/-0.015) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.6182 (+/-0.015) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.6363 (+/-0.020) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.6363 (+/-0.020) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.6363 (+/-0.020) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.6362 (+/-0.020) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.6362 (+/-0.020) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.6362 (+/-0.020) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.6352 (+/-0.020) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.6352 (+/-0.020) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.6352 (+/-0.020) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.6109 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.6109 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.6109 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.6110 (+/-0.015) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.6110 (+/-0.015) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.6110 (+/-0.015) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.6115 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.6115 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.6115 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.6309 (+/-0.019) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.6309 (+/-0.019) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.6309 (+/-0.019) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.6309 (+/-0.020) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.6309 (+/-0.020) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
