0.6108 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.6108 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.6108 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.6115 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.6115 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.6115 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.6102 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.6102 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.6102 (+/-0.016) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.6288 (+/-0.026) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.6288 (+/-0.026) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.6288 (+/-0.026) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.6289 (+/-0.026) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.6289 (+/-0.026) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.6289 (+/-0.026) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.6280 (+/-0.026) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.6280 (+/-0.026) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.6280 (+/-0.026) for {'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.6048 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.6048 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.6048 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.6052 (+/-0.017) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.6052 (+/-0.017) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.6052 (+/-0.017) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.6053 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.6053 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.6053 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.6267 (+/-0.017) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.6267 (+/-0.017) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.6267 (+/-0.017) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.6268 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.6268 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.6268 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.6271 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.6271 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.6271 (+/-0.018) for {'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.7113 (+/-0.020) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7113 (+/-0.020) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7113 (+/-0.020) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.7117 (+/-0.019) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7117 (+/-0.019) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7117 (+/-0.019) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.7119 (+/-0.018) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.7119 (+/-0.018) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.7119 (+/-0.018) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.7114 (+/-0.027) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7114 (+/-0.027) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7114 (+/-0.027) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.7114 (+/-0.027) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7114 (+/-0.027) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7114 (+/-0.027) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.7118 (+/-0.026) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.7118 (+/-0.026) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.7118 (+/-0.026) for {'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.7089 (+/-0.021) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7089 (+/-0.021) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7089 (+/-0.021) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.7086 (+/-0.023) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7086 (+/-0.023) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7086 (+/-0.023) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.7086 (+/-0.024) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.7086 (+/-0.024) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.7086 (+/-0.024) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.7147 (+/-0.013) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7147 (+/-0.013) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7147 (+/-0.013) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.7153 (+/-0.015) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7153 (+/-0.015) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7153 (+/-0.015) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.7146 (+/-0.013) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.7146 (+/-0.013) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.7146 (+/-0.013) for {'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.7306 (+/-0.011) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7306 (+/-0.011) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7306 (+/-0.011) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.7319 (+/-0.010) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7319 (+/-0.010) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7319 (+/-0.010) for {'classifier__n_neighbors': 10, 'classifier__p': 1, 'classifier__weights': 'uniform', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
