0.7329 (+/-0.023) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7329 (+/-0.023) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7288 (+/-0.016) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7288 (+/-0.016) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7355 (+/-0.030) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7355 (+/-0.030) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7381 (+/-0.023) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7381 (+/-0.023) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7371 (+/-0.027) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7371 (+/-0.027) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7378 (+/-0.026) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7378 (+/-0.026) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7305 (+/-0.024) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7305 (+/-0.024) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7320 (+/-0.017) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7320 (+/-0.017) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7373 (+/-0.026) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7373 (+/-0.026) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7341 (+/-0.028) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7341 (+/-0.028) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7379 (+/-0.028) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7379 (+/-0.028) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7369 (+/-0.027) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7369 (+/-0.027) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7328 (+/-0.032) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7328 (+/-0.032) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7315 (+/-0.028) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7315 (+/-0.028) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
