0.3789 (+/-0.022) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.3789 (+/-0.022) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.3789 (+/-0.022) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.3785 (+/-0.024) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.3785 (+/-0.024) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.3785 (+/-0.024) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.3793 (+/-0.022) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.3793 (+/-0.022) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.3793 (+/-0.022) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.5045 (+/-0.036) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.5045 (+/-0.036) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.5045 (+/-0.036) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.5047 (+/-0.037) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.5047 (+/-0.037) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.5047 (+/-0.037) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.5050 (+/-0.037) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.5050 (+/-0.037) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.5050 (+/-0.037) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.5101 (+/-0.034) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.5101 (+/-0.034) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.5101 (+/-0.034) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.5107 (+/-0.031) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.5107 (+/-0.031) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.5107 (+/-0.031) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.5108 (+/-0.032) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.5108 (+/-0.032) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.5108 (+/-0.032) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.5478 (+/-0.039) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.5478 (+/-0.039) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.5478 (+/-0.039) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.5484 (+/-0.039) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.5484 (+/-0.039) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.5484 (+/-0.039) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.5487 (+/-0.040) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.5487 (+/-0.040) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.5487 (+/-0.040) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.5226 (+/-0.035) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.5226 (+/-0.035) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.5226 (+/-0.035) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.5228 (+/-0.033) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
