0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 2, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 2, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 2, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 2, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 2, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 2, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 2, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 2, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 2, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 3, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 3, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 3, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 3, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 3, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 3, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 3, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 3, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 3, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 4, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 4, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 4, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 4, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 4, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 4, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 4, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 4, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__degree': 4, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.0992 (+/-0.029) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.0992 (+/-0.029) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.0992 (+/-0.029) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.0992 (+/-0.029) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.0992 (+/-0.029) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.0992 (+/-0.029) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.0992 (+/-0.029) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.0992 (+/-0.029) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.0992 (+/-0.029) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 3, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1332 (+/-0.049) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1332 (+/-0.049) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1332 (+/-0.049) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1336 (+/-0.051) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__degree': 4, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
