0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__gamma': 1e-05}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__gamma': 0.0001}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__gamma': 0.001}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__gamma': 0.01}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__gamma': 10.0}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__gamma': 100.0}
0.1259 (+/-0.000) for {'classifier__C': 0.001, 'classifier__class_weight': None, 'classifier__gamma': 1000.0}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0}
0.0972 (+/-0.028) for {'classifier__C': 0.001, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1e-05}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.0001}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.001}
0.1602 (+/-0.012) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.01}
0.1352 (+/-0.003) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 10.0}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 100.0}
0.1259 (+/-0.000) for {'classifier__C': 0.01, 'classifier__class_weight': None, 'classifier__gamma': 1000.0}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001}
0.4514 (+/-0.027) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01}
0.3077 (+/-0.249) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0}
0.0872 (+/-0.045) for {'classifier__C': 0.01, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1e-05}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.0001}
0.2355 (+/-0.011) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.001}
0.5117 (+/-0.031) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.01}
0.6512 (+/-0.036) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 10.0}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 100.0}
0.1259 (+/-0.000) for {'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__gamma': 1000.0}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001}
0.4536 (+/-0.035) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001}
0.5904 (+/-0.030) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01}
0.7378 (+/-0.024) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0}
0.0872 (+/-0.045) for {'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0}
0.1259 (+/-0.000) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 1e-05}
0.2384 (+/-0.010) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 0.0001}
0.4599 (+/-0.016) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 0.001}
0.6998 (+/-0.027) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 0.01}
0.8025 (+/-0.025) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.1400 (+/-0.003) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 10.0}
0.1259 (+/-0.000) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 100.0}
0.1259 (+/-0.000) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 1000.0}
0.0872 (+/-0.045) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05}
0.4536 (+/-0.029) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001}
0.5332 (+/-0.039) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001}
0.7212 (+/-0.019) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01}
0.8073 (+/-0.023) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.1368 (+/-0.008) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1168 (+/-0.009) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0}
