0.2886 (+/-0.013) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 0.03125, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.6335 (+/-0.039) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.0872 (+/-0.045) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.0872 (+/-0.045) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.0872 (+/-0.045) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.0872 (+/-0.045) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.4392 (+/-0.020) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.1522 (+/-0.008) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 0.0625, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.6932 (+/-0.031) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.4492 (+/-0.111) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.0872 (+/-0.045) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.0872 (+/-0.045) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.0872 (+/-0.045) for {'classifier__C': 0.0625, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.6282 (+/-0.031) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.2509 (+/-0.018) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.1259 (+/-0.000) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1259 (+/-0.000) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 0.125, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7428 (+/-0.028) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.6200 (+/-0.045) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.0872 (+/-0.045) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.0872 (+/-0.045) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.0872 (+/-0.045) for {'classifier__C': 0.125, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7342 (+/-0.034) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.4204 (+/-0.018) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.1279 (+/-0.003) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1259 (+/-0.000) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 0.25, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7732 (+/-0.026) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.6896 (+/-0.017) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.2392 (+/-0.167) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.0872 (+/-0.045) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.0872 (+/-0.045) for {'classifier__C': 0.25, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7851 (+/-0.022) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.6055 (+/-0.028) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.1753 (+/-0.007) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1259 (+/-0.000) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 0.5, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7989 (+/-0.023) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.7340 (+/-0.026) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.3856 (+/-0.083) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.0898 (+/-0.040) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.0872 (+/-0.045) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.0872 (+/-0.045) for {'classifier__C': 0.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.8003 (+/-0.024) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.7243 (+/-0.041) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.3897 (+/-0.014) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1400 (+/-0.003) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 1.0, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.8058 (+/-0.028) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.7445 (+/-0.039) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.4263 (+/-0.018) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.1368 (+/-0.008) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1168 (+/-0.009) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.1168 (+/-0.009) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7960 (+/-0.030) for {'classifier__C': 2.0, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.7349 (+/-0.042) for {'classifier__C': 2.0, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
